,Price,Age,KM,fueltyp,HP,MetColor,Doors,Weight
0,13500.0,23.0,46986.0,Diesel ,90.0,1.0,4.0,13500.0
1,13750.0,23.0,72937.0,Diesel ,90.0,1.0,4.0,13750.0
3,14950.0,26.0,48000.0,Diesel ,90.0,0.0,4.0,14950.0
4,13750.0,30.0,38500.0,Diesel ,90.0,0.0,4.0,13750.0
5,12950.0,32.0,61000.0,Diesel ,90.0,0.0,4.0,12950.0
7,18600.0,30.0,75889.0,Diesel,90.0,1.0,4.0,18600.0
8,21500.0,27.0,19700.0,Petrol ,192.0,0.0,2.0,21500.0
9,12950.0,23.0,71138.0,Diesel ,90.0,0.0,2.0,12950.0
10,20950.0,25.0,31461.0, Petrol,192.0,0.0,2.0,20950.0
11,19950.0,22.0,43610.0, Petrol,192.0,0.0,2.0,19950.0
12,19600.0,25.0,32189.0, Petrol,192.0,0.0,4.0,19600.0
13,21500.0,31.0,23000.0, Petrol,192.0,1.0,4.0,21500.0
14,22500.0,32.0,34131.0, Petrol,192.0,1.0,2.0,22500.0
16,21500.0,27.0,19700.0, Petrol,192.0,0.0,2.0,21500.0
17,17950.0,24.0,21716.0, Petrol,110.0,1.0,4.0,17950.0
19,16950.0,30.0,64359.0, Petrol,110.0,1.0,4.0,16950.0
20,15950.0,30.0,67660.0,Petrol ,110.0,1.0,4.0,15950.0
